queue_position,clip_index,asset,cohort,stored_status,stored_updated_utc,legacy_mark_method,user_directed_per_clip_status
1,539,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_B_Land_Stand_Light_Lfoot.M_Neutral_Jump_B_Land_Stand_Light_Lfoot,conditioned_a189cab6fd1d9343_p01.json,approved,2026-09-24T06:27:29.079151+00:00,single_mark,approved
2,540,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_B_Land_Stand_Light_Rfoot.M_Neutral_Jump_B_Land_Stand_Light_Rfoot,conditioned_a189cab6fd1d9343_p01.json,approved,2026-09-24T06:28:01.960412+00:00,single_mark,approved
3,541,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_B_Land_Walk_Heavy.M_Neutral_Jump_B_Land_Walk_Heavy,conditioned_a189cab6fd1d9343_p01.json,approved,2026-09-24T06:28:16.559825+00:00,single_mark,approved
4,542,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_B_Land_Walk_Light.M_Neutral_Jump_B_Land_Walk_Light,conditioned_a189cab6fd1d9343_p01.json,approved,2026-09-24T06:28:25.225524+00:00,single_mark,approved
5,543,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_B_Off_Run_Lfoot.M_Neutral_Jump_B_Off_Run_Lfoot,conditioned_a189cab6fd1d9343_p01.json,approved,2026-09-24T06:28:30.998920+00:00,single_mark,approved
6,544,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_B_Off_Run_Rfoot.M_Neutral_Jump_B_Off_Run_Rfoot,conditioned_a189cab6fd1d9343_p01.json,approved,2026-09-24T06:28:35.161440+00:00,single_mark,approved
7,549,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_F_Land_Roll_Lfoot.M_Neutral_Jump_F_Land_Roll_Lfoot,conditioned_a189cab6fd1d9343_p01.json,approved,2026-09-24T06:28:41.066500+00:00,single_mark,approved
8,550,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_F_Land_Roll_Rfoot.M_Neutral_Jump_F_Land_Roll_Rfoot,conditioned_a189cab6fd1d9343_p01.json,approved,2026-09-24T06:28:46.396965+00:00,single_mark,approved
9,553,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_F_Land_Run_Light_Lfoot.M_Neutral_Jump_F_Land_Run_Light_Lfoot,conditioned_a189cab6fd1d9343_p01.json,approved,2026-09-24T06:28:50.570130+00:00,single_mark,approved
10,556,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_F_Land_Sprint_Light_Lfoot.M_Neutral_Jump_F_Land_Sprint_Light_Lfoot,conditioned_a189cab6fd1d9343_p01.json,approved,2026-09-24T06:28:54.014929+00:00,single_mark,approved
11,557,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_F_Land_Stand_Heavy_Lfoot.M_Neutral_Jump_F_Land_Stand_Heavy_Lfoot,conditioned_a189cab6fd1d9343_p01.json,approved,2026-09-24T06:28:58.845817+00:00,single_mark,approved
12,560,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_F_Land_Stand_Light_Rfoot.M_Neutral_Jump_F_Land_Stand_Light_Rfoot,conditioned_a189cab6fd1d9343_p01.json,approved,2026-09-24T06:29:02.717697+00:00,single_mark,approved
13,565,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_F_Land_Walk_Light_Lfoot.M_Neutral_Jump_F_Land_Walk_Light_Lfoot,conditioned_a189cab6fd1d9343_p01.json,approved,2026-09-24T06:29:06.606234+00:00,single_mark,approved
14,566,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_F_Land_Walk_Light_Rfoot.M_Neutral_Jump_F_Land_Walk_Light_Rfoot,conditioned_a189cab6fd1d9343_p01.json,approved,2026-09-24T06:29:33.180761+00:00,single_mark,approved
