clip_index,split,history_start_frame,future_start_frame,future_end_frame_inclusive,future_pelvis_height_span_cm
226,train,0,24,47,1.628709
226,train,4,28,51,0.886184
226,train,8,32,55,0.482887
226,train,12,36,59,0.180608
226,train,16,40,63,0.107384
226,train,20,44,67,0.105965
226,train,24,48,71,0.162822
226,train,28,52,75,0.178617
227,train,0,24,47,1.880831
227,train,4,28,51,0.76412
227,train,8,32,55,0.72521
227,train,12,36,59,0.972748
227,train,16,40,63,1.01032
227,train,20,44,67,0.886109
227,train,24,48,71,0.81532
227,train,28,52,75,0.650358
429,train,0,24,47,1.786983
429,train,4,28,51,0.905585
429,train,8,32,55,0.482893
429,train,12,36,59,0.180626
429,train,16,40,63,0.107408
429,train,20,44,67,0.105971
429,train,24,48,71,0.162834
429,train,28,52,75,0.178617
430,test,0,24,47,1.880831
430,test,4,28,51,0.76412
430,test,8,32,55,0.72521
430,test,12,36,59,0.972748
430,test,16,40,63,1.01032
430,test,20,44,67,0.886109
430,test,24,48,71,0.81532
430,test,28,52,75,0.650358
