clip_index,cohort,asset,category,split,flags,stored_status,decision_evidence,updated_utc,p0_followup
539,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_B_Land_Stand_Light_Lfoot.M_Neutral_Jump_B_Land_Stand_Light_Lfoot,Jump,train,root_speed_over_15_mps_review,approved,individual_mark_no_detailed_note,2026-09-24T06:27:29.079151+00:00,confirm_viewing_and_add_specific_note
540,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_B_Land_Stand_Light_Rfoot.M_Neutral_Jump_B_Land_Stand_Light_Rfoot,Jump,test,root_speed_over_15_mps_review,approved,individual_mark_no_detailed_note,2026-09-24T06:28:01.960412+00:00,confirm_viewing_and_add_specific_note
541,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_B_Land_Walk_Heavy.M_Neutral_Jump_B_Land_Walk_Heavy,Jump,train,root_speed_over_15_mps_review,approved,individual_mark_no_detailed_note,2026-09-24T06:28:16.559825+00:00,confirm_viewing_and_add_specific_note
542,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_B_Land_Walk_Light.M_Neutral_Jump_B_Land_Walk_Light,Jump,train,root_speed_over_15_mps_review;pelvis_speed_over_20_mps_review,approved,individual_mark_no_detailed_note,2026-09-24T06:28:25.225524+00:00,confirm_viewing_and_add_specific_note
543,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_B_Off_Run_Lfoot.M_Neutral_Jump_B_Off_Run_Lfoot,Jump,train,root_height_range_over_10_m_review,approved,individual_mark_no_detailed_note,2026-09-24T06:28:30.998920+00:00,confirm_viewing_and_add_specific_note
544,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_B_Off_Run_Rfoot.M_Neutral_Jump_B_Off_Run_Rfoot,Jump,train,root_height_range_over_10_m_review,approved,individual_mark_no_detailed_note,2026-09-24T06:28:35.161440+00:00,confirm_viewing_and_add_specific_note
549,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_F_Land_Roll_Lfoot.M_Neutral_Jump_F_Land_Roll_Lfoot,Jump,train,root_speed_over_15_mps_review,approved,individual_mark_no_detailed_note,2026-09-24T06:28:41.066500+00:00,confirm_viewing_and_add_specific_note
550,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_F_Land_Roll_Rfoot.M_Neutral_Jump_F_Land_Roll_Rfoot,Jump,train,root_speed_over_15_mps_review,approved,individual_mark_no_detailed_note,2026-09-24T06:28:46.396965+00:00,confirm_viewing_and_add_specific_note
553,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_F_Land_Run_Light_Lfoot.M_Neutral_Jump_F_Land_Run_Light_Lfoot,Jump,train,root_speed_over_15_mps_review,approved,individual_mark_no_detailed_note,2026-09-24T06:28:50.570130+00:00,confirm_viewing_and_add_specific_note
556,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_F_Land_Sprint_Light_Lfoot.M_Neutral_Jump_F_Land_Sprint_Light_Lfoot,Jump,train,root_speed_over_15_mps_review,approved,individual_mark_no_detailed_note,2026-09-24T06:28:54.014929+00:00,confirm_viewing_and_add_specific_note
557,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_F_Land_Stand_Heavy_Lfoot.M_Neutral_Jump_F_Land_Stand_Heavy_Lfoot,Jump,test,root_speed_over_15_mps_review,approved,individual_mark_no_detailed_note,2026-09-24T06:28:58.845817+00:00,confirm_viewing_and_add_specific_note
560,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_F_Land_Stand_Light_Rfoot.M_Neutral_Jump_F_Land_Stand_Light_Rfoot,Jump,test,root_speed_over_15_mps_review,approved,individual_mark_no_detailed_note,2026-09-24T06:29:02.717697+00:00,confirm_viewing_and_add_specific_note
565,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_F_Land_Walk_Light_Lfoot.M_Neutral_Jump_F_Land_Walk_Light_Lfoot,Jump,test,root_speed_over_15_mps_review;pelvis_speed_over_20_mps_review,approved,individual_mark_no_detailed_note,2026-09-24T06:29:06.606234+00:00,confirm_viewing_and_add_specific_note
566,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_F_Land_Walk_Light_Rfoot.M_Neutral_Jump_F_Land_Walk_Light_Rfoot,Jump,validation,root_speed_over_15_mps_review,approved,individual_mark_no_detailed_note,2026-09-24T06:29:33.180761+00:00,confirm_viewing_and_add_specific_note
571,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_F_Start_Across_Lfoot.M_Neutral_Jump_F_Start_Across_Lfoot,Jump,train,root_height_range_over_10_m_review,approved,individual_mark_no_detailed_note,2026-09-24T06:29:39.412310+00:00,confirm_viewing_and_add_specific_note
573,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_F_Start_Cliff_Lfoot.M_Neutral_Jump_F_Start_Cliff_Lfoot,Jump,train,root_speed_over_15_mps_review;root_height_range_over_10_m_review,approved,individual_mark_no_detailed_note,2026-09-24T06:29:57.123235+00:00,confirm_viewing_and_add_specific_note
574,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_F_Start_Cliff_Rfoot.M_Neutral_Jump_F_Start_Cliff_Rfoot,Jump,train,root_speed_over_15_mps_review;root_height_range_over_10_m_review,approved,individual_mark_no_detailed_note,2026-09-24T06:30:02.152341+00:00,confirm_viewing_and_add_specific_note
575,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_F_Start_Run_Lfoot.M_Neutral_Jump_F_Start_Run_Lfoot,Jump,train,root_speed_over_15_mps_review;root_height_range_over_10_m_review,approved,individual_mark_no_detailed_note,2026-09-24T06:30:06.381858+00:00,confirm_viewing_and_add_specific_note
576,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_F_Start_Run_Rfoot.M_Neutral_Jump_F_Start_Run_Rfoot,Jump,train,root_speed_over_15_mps_review;root_height_range_over_10_m_review,approved,individual_mark_no_detailed_note,2026-09-24T06:30:11.261748+00:00,confirm_viewing_and_add_specific_note
577,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_F_Start_Sprint_Lfoot.M_Neutral_Jump_F_Start_Sprint_Lfoot,Jump,validation,root_speed_over_15_mps_review;root_height_range_over_10_m_review,approved,individual_mark_no_detailed_note,2026-09-24T06:30:17.760337+00:00,confirm_viewing_and_add_specific_note
578,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_F_Start_Sprint_Rfoot.M_Neutral_Jump_F_Start_Sprint_Rfoot,Jump,train,root_speed_over_15_mps_review;root_height_range_over_10_m_review,approved,individual_mark_no_detailed_note,2026-09-24T06:31:54.387031+00:00,confirm_viewing_and_add_specific_note
583,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_LL_Land_Run_Heavy.M_Neutral_Jump_LL_Land_Run_Heavy,Jump,validation,root_speed_over_15_mps_review,approved,individual_mark_no_detailed_note,2026-09-24T06:33:16.085692+00:00,confirm_viewing_and_add_specific_note
585,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_LL_Land_Stand_Heavy_Lfoot.M_Neutral_Jump_LL_Land_Stand_Heavy_Lfoot,Jump,train,root_speed_over_15_mps_review,approved,individual_mark_no_detailed_note,2026-09-24T06:33:28.640302+00:00,confirm_viewing_and_add_specific_note
586,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_LL_Land_Stand_Heavy_Rfoot.M_Neutral_Jump_LL_Land_Stand_Heavy_Rfoot,Jump,train,root_speed_over_15_mps_review,approved,individual_mark_no_detailed_note,2026-09-24T06:33:58.803640+00:00,confirm_viewing_and_add_specific_note
588,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_LL_Land_Stand_Light_Rfoot.M_Neutral_Jump_LL_Land_Stand_Light_Rfoot,Jump,train,root_speed_over_15_mps_review,approved,individual_mark_no_detailed_note,2026-09-24T06:34:04.069319+00:00,confirm_viewing_and_add_specific_note
589,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_LL_Land_Walk_Heavy.M_Neutral_Jump_LL_Land_Walk_Heavy,Jump,train,root_speed_over_15_mps_review,approved,individual_mark_no_detailed_note,2026-09-24T06:34:09.988267+00:00,confirm_viewing_and_add_specific_note
597,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_Loop_Fall.M_Neutral_Jump_Loop_Fall,Jump,train,root_height_range_over_10_m_review,approved,individual_mark_no_detailed_note,2026-09-24T06:34:15.220663+00:00,confirm_viewing_and_add_specific_note
598,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_RL_Land_Run_Heavy.M_Neutral_Jump_RL_Land_Run_Heavy,Jump,train,root_speed_over_15_mps_review,approved,individual_mark_no_detailed_note,2026-09-24T06:34:22.886892+00:00,confirm_viewing_and_add_specific_note
599,conditioned_a189cab6fd1d9343_p01.json,/Game/Characters/UEFN_Mannequin/Animations/Jump/M_Neutral_Jump_RL_Land_Run_Light.M_Neutral_Jump_RL_Land_Run_Light,Jump,train,root_speed_over_15_mps_review,approved,individual_mark_no_detailed_note,2026-09-24T06:34:28.205084+00:00,confirm_viewing_and_add_specific_note
